session_id,source_group,arc_cluster,returned
Human_Astro::conversation_2946836_3183.csv::s9,baseline_returned,0,True
Human_Astro::conversation_3064704_1747.csv::s1,baseline_returned,2,True
Human_Astro::conversation_3064704_1747.csv::s10,baseline_returned,1,True
Human_Astro::conversation_3064704_1747.csv::s2,baseline_returned,1,True
Human_Astro::conversation_3064704_1747.csv::s3,baseline_returned,2,True
Human_Astro::conversation_3064704_1747.csv::s4,baseline_returned,0,True
Human_Astro::conversation_3064704_1747.csv::s5,baseline_returned,0,True
Human_Astro::conversation_3064704_1747.csv::s6,baseline_returned,2,True
Human_Astro::conversation_3064704_1747.csv::s7,baseline_returned,1,True
Human_Astro::conversation_3064704_1747.csv::s8,baseline_returned,1,True
Human_Astro::conversation_3064704_1747.csv::s9,baseline_returned,1,True
Human_Astro::conversation_3079187_926.csv::s1,baseline_returned,1,True
Human_Astro::conversation_3079187_926.csv::s10,baseline_returned,1,True
Human_Astro::conversation_3079187_926.csv::s11,baseline_returned,1,True
Human_Astro::conversation_3079187_926.csv::s12,baseline_returned,1,True
Human_Astro::conversation_3079187_926.csv::s13,baseline_returned,0,True
Human_Astro::conversation_3079187_926.csv::s2,baseline_returned,0,True
Human_Astro::conversation_3079187_926.csv::s3,baseline_returned,1,True
Human_Astro::conversation_3079187_926.csv::s4,baseline_returned,0,True
Human_Astro::conversation_3079187_926.csv::s5,baseline_returned,0,True
Human_Astro::conversation_3079187_926.csv::s6,baseline_returned,1,True
Human_Astro::conversation_3079187_926.csv::s7,baseline_returned,0,True
Human_Astro::conversation_3079187_926.csv::s8,baseline_returned,1,True
Human_Astro::conversation_3079187_926.csv::s9,baseline_returned,0,True
Human_Astro::conversation_3084324_3727.csv::s1,baseline_returned,0,True
Human_Astro::conversation_3084324_3727.csv::s10,baseline_returned,3,True
Human_Astro::conversation_3084324_3727.csv::s11,baseline_returned,1,True
Human_Astro::conversation_3084324_3727.csv::s12,baseline_returned,0,True
Human_Astro::conversation_3084324_3727.csv::s13,baseline_returned,1,True
Human_Astro::conversation_3084324_3727.csv::s14,baseline_returned,0,True
Human_Astro::conversation_3084324_3727.csv::s15,baseline_returned,2,True
Human_Astro::conversation_3084324_3727.csv::s16,baseline_returned,3,True
Human_Astro::conversation_3084324_3727.csv::s2,baseline_returned,1,True
Human_Astro::conversation_3084324_3727.csv::s3,baseline_returned,3,True
Human_Astro::conversation_3084324_3727.csv::s4,baseline_returned,1,True
Human_Astro::conversation_3084324_3727.csv::s5,baseline_returned,1,True
Human_Astro::conversation_3084324_3727.csv::s6,baseline_returned,0,True
Human_Astro::conversation_3084324_3727.csv::s7,baseline_returned,1,True
Human_Astro::conversation_3084324_3727.csv::s8,baseline_returned,1,True
Human_Astro::conversation_3084324_3727.csv::s9,baseline_returned,1,True
Human_Astro::conversation_3089486_1765.csv::s1,baseline_returned,1,True
Human_Astro::conversation_3089486_1765.csv::s10,baseline_returned,1,True
Human_Astro::conversation_3089486_1765.csv::s11,baseline_returned,1,True
Human_Astro::conversation_3089486_1765.csv::s12,baseline_returned,1,True
Human_Astro::conversation_3089486_1765.csv::s2,baseline_returned,1,True
Human_Astro::conversation_3089486_1765.csv::s3,baseline_returned,1,True
Human_Astro::conversation_3089486_1765.csv::s4,baseline_returned,1,True
Human_Astro::conversation_3089486_1765.csv::s5,baseline_returned,1,True
Human_Astro::conversation_3089486_1765.csv::s6,baseline_returned,1,True
Human_Astro::conversation_3089486_1765.csv::s7,baseline_returned,1,True
Human_Astro::conversation_3089486_1765.csv::s8,baseline_returned,3,True
Human_Astro::conversation_3089486_1765.csv::s9,baseline_returned,1,True
Human_Astro::conversation_3100018_2041.csv::s10,baseline_returned,0,True
Human_Astro::conversation_3100018_2041.csv::s11,baseline_returned,1,True
Human_Astro::conversation_3100018_2041.csv::s12,baseline_returned,1,True
Human_Astro::conversation_3100018_2041.csv::s13,baseline_returned,1,True
Human_Astro::conversation_3100018_2041.csv::s14,baseline_returned,1,True
Human_Astro::conversation_3100018_2041.csv::s15,baseline_returned,3,True
Human_Astro::conversation_3100018_2041.csv::s2,baseline_returned,1,True
Human_Astro::conversation_3100018_2041.csv::s3,baseline_returned,1,True
Human_Astro::conversation_3100018_2041.csv::s4,baseline_returned,2,True
Human_Astro::conversation_3100018_2041.csv::s5,baseline_returned,2,True
Human_Astro::conversation_3100018_2041.csv::s6,baseline_returned,1,True
Human_Astro::conversation_3100018_2041.csv::s7,baseline_returned,1,True
Human_Astro::conversation_3100018_2041.csv::s8,baseline_returned,3,True
Human_Astro::conversation_3100018_2041.csv::s9,baseline_returned,1,True
Human_Astro::conversation_3129759_3821.csv::s1,baseline_returned,1,True
Human_Astro::conversation_3129759_3821.csv::s10,baseline_returned,3,True
Human_Astro::conversation_3129759_3821.csv::s11,baseline_returned,3,True
Human_Astro::conversation_3129759_3821.csv::s12,baseline_returned,1,True
Human_Astro::conversation_3129759_3821.csv::s13,baseline_returned,0,True
Human_Astro::conversation_3129759_3821.csv::s14,baseline_returned,0,True
Human_Astro::conversation_3129759_3821.csv::s15,baseline_returned,3,True
Human_Astro::conversation_3129759_3821.csv::s16,baseline_returned,0,True
Human_Astro::conversation_3129759_3821.csv::s17,baseline_returned,1,True
Human_Astro::conversation_3129759_3821.csv::s18,baseline_returned,3,True
Human_Astro::conversation_3129759_3821.csv::s19,baseline_returned,3,True
Human_Astro::conversation_3129759_3821.csv::s2,baseline_returned,0,True
Human_Astro::conversation_3129759_3821.csv::s20,baseline_returned,1,True
